row_id,timing_row_id,original_full_test_row_id,source_row_index,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
34,34,15083,101052,333568,256,52760064,0,256,768,0,2560,2560,0,0,0,221184,24576,23702,0,560
35,35,34404,229481,627968,256,102659840,0,256,2304,0,768,256,0,0,0,96512,0,0,0,2
36,36,44070,293119,256768,256,102674176,0,4096,7168,0,0,0,0,0,0,0,3328,30572,0,167
37,37,22708,152434,679168,256,130073600,0,256,5888,0,0,0,0,0,0,0,0,0,0,11
38,38,30143,201423,333568,0,53014784,3503,0,1280,256,0,0,256,2304,16640,0,0,0,1024,367
39,39,47158,314148,167168,256,28938496,0,256,1792,0,1024,1024,0,0,0,0,0,0,0,2
40,40,30519,204145,115968,256,27928576,0,256,1280,0,2560,256,0,0,0,245760,0,0,0,2
41,41,52422,348576,103168,256,27648256,0,1536,3584,0,8192,256,0,0,0,319488,9984,34882,0,616
42,42,22770,152896,807168,256,155673600,0,256,6912,0,0,0,0,0,0,0,512,30878,0,11
43,43,12265,81847,615168,0,79129600,16025,0,1280,256,0,0,256,256,16640,0,0,0,1024,51
44,44,13770,92260,551168,256,103193600,0,256,1024,0,2048,2048,0,0,0,0,0,0,0,87
45,45,32508,217143,768768,256,128537600,0,256,6400,0,1024,256,0,0,0,152064,0,0,0,2
46,46,1034,6986,115968,256,77073664,0,2560,4608,0,0,0,0,0,0,0,3328,24048,0,57
47,47,21086,141539,653568,256,179993600,0,256,6656,0,0,0,0,0,0,0,512,43641,0,12
48,48,33595,224303,192768,0,29457664,17229,0,1792,256,0,0,256,4608,6144,0,0,0,768,13
49,49,9832,65570,704768,256,128537600,0,256,1792,0,1536,1536,0,0,0,0,0,0,0,2
50,50,34357,229177,563968,256,78612736,0,256,768,0,4096,256,0,0,0,278528,0,0,0,2
51,51,1653,11056,192768,256,128520704,0,2048,7168,0,0,0,0,0,0,0,3328,42358,0,63
52,52,21036,141256,525568,256,129305600,0,256,6656,0,0,0,0,0,0,0,256,21533,0,9
53,53,49358,328600,359168,0,53526528,3514,0,2560,256,0,0,256,1024,33536,0,0,0,1024,188
54,54,42643,283970,231168,256,30213888,0,256,1536,0,3584,3584,0,0,0,0,0,0,0,2
55,55,50961,339368,794368,256,206105600,0,256,6656,0,0,0,0,0,0,0,0,0,0,1
56,56,4140,27752,154368,256,102656256,0,3840,7168,0,0,0,0,0,0,0,3328,46416,0,64
57,57,21610,145148,487168,256,102923776,0,256,6656,0,0,0,0,0,0,0,0,0,0,9
58,58,1328,8872,13568,0,25869568,10342,0,768,256,0,0,256,2304,15872,0,0,0,768,27
59,59,46710,310912,397568,256,54272000,0,256,1792,0,2816,2816,0,0,0,0,0,0,0,151
60,60,51823,344880,487168,256,129281280,0,256,6400,0,0,0,0,0,0,0,0,0,0,1
61,61,44685,297353,243968,256,102671616,0,2816,7168,0,0,0,0,0,0,0,3328,34379,0,159
62,62,22821,153202,883968,256,180249600,0,256,6656,0,0,0,0,0,0,0,1024,28652,0,13
63,63,51659,343875,154368,0,28677376,2036,0,1792,256,0,0,256,768,33536,0,0,0,512,56
64,64,47128,313976,141568,256,28433664,0,256,2304,0,3584,3584,0,0,0,0,0,0,0,2
65,65,50861,338703,512768,256,128272640,0,256,6144,0,0,0,0,0,0,0,0,0,0,1
66,66,4352,29015,103168,256,51458304,0,7424,7168,0,0,0,256,0,0,0,3328,40784,0,326
67,67,48955,326038,730368,256,665869824,0,256,2304,0,0,0,0,0,0,0,0,0,0,2
68,68,43922,292132,13568,0,25870336,4668,0,6912,256,0,0,256,512,9728,0,0,0,3840,16
69,69,42217,281227,346368,256,53264640,0,256,1024,0,4608,4608,0,0,0,0,0,0,0,283
70,70,31102,208167,883968,256,179726848,0,256,6656,0,0,0,0,0,0,0,0,0,0,1
71,71,4364,29108,205568,256,153869824,0,4352,2816,0,0,0,0,0,0,0,3328,51695,0,74
72,72,21157,142015,845568,256,231961600,0,256,5888,0,0,0,0,0,0,0,512,40185,0,8
73,73,43028,286592,743168,0,154393600,0,0,0,0,0,0,0,0,3328,96512,3328,29441,0,165
74,74,45669,303720,141568,256,28416256,0,256,2304,0,1280,1280,0,0,0,0,0,0,0,2
75,75,28654,191775,320768,256,52761600,0,256,2560,0,1024,256,0,0,0,163584,0,0,0,474
76,76,45232,300714,90368,256,51728128,0,4608,3840,0,256,256,0,0,0,61696,61696,31735,0,293
77,77,41112,273945,487168,256,79385600,0,256,6400,0,0,0,0,0,0,0,0,0,0,2
78,78,52296,347833,858368,0,691481600,0,0,0,0,0,0,0,0,3328,29952,3328,22650,0,56
79,79,15676,105077,295168,256,52241920,0,256,1024,0,3584,3584,0,0,0,272384,19456,34814,0,615
80,80,29676,198456,666368,256,180505600,0,256,6400,0,0,0,0,0,0,0,0,0,0,1
81,81,43786,291242,64768,256,26884096,0,11776,7168,0,0,0,256,0,0,123136,3328,14063,0,253
82,82,41275,275090,781568,256,154393600,0,256,6656,0,0,0,0,0,0,0,512,21811,0,17
83,83,11599,77380,26368,0,26130688,15346,0,1024,256,0,0,256,256,5888,0,0,0,512,12
84,84,12549,83764,103168,256,27660288,0,256,512,0,15872,15872,0,0,0,0,0,0,0,2
85,85,51741,344369,256768,256,52761600,0,256,1792,0,2048,256,0,0,0,227328,0,0,0,2
86,86,3014,20237,231168,256,53252608,0,2816,7168,0,0,0,256,0,0,0,3328,21382,0,641
87,87,49796,331635,819968,256,281881600,0,256,6656,0,0,0,0,0,0,0,0,0,0,6
88,88,42353,282206,858368,256,435731968,0,256,2304,0,0,0,0,0,0,0,3328,40473,0,66
89,89,46195,307372,679168,256,103693056,0,256,1280,0,512,512,0,0,0,0,0,0,0,2
90,90,50968,339470,845568,256,231193600,0,256,6400,0,256,256,0,0,0,61696,0,0,0,1
91,91,4118,27599,77568,256,27154688,0,3072,7168,0,0,0,256,0,0,146944,3328,34826,0,313
92,92,21619,145178,499968,256,103179776,0,256,6912,0,0,0,0,0,0,0,0,0,0,6
93,93,33651,224634,231168,0,30233088,11154,0,768,256,0,0,256,14848,4608,0,0,0,768,9
94,94,15554,104257,192768,256,29447680,0,256,1280,0,2560,2560,0,0,0,245760,24576,22025,0,584
95,95,33412,223145,39168,256,26379008,0,256,1280,0,12544,256,0,0,0,326144,0,0,0,2
96,96,44676,297280,218368,256,78084608,0,3840,4352,0,0,0,0,0,0,0,3328,21382,0,162
97,97,48925,325835,474368,256,409881600,0,256,2304,0,0,0,0,0,0,0,256,40784,0,3
98,98,29925,200018,128768,0,28181760,5665,0,1792,256,0,0,256,3328,11776,0,0,0,256,21
99,99,9677,64548,448768,256,77337600,0,256,768,0,2816,2816,0,0,0,0,0,0,0,2
100,100,30376,203144,819968,256,180236800,0,256,6144,0,0,0,0,0,0,0,0,0,0,1
101,101,44634,296991,90368,256,51472384,0,3328,7168,0,0,0,256,0,0,104704,3328,31993,0,466
102,102,19760,132897,269568,256,51737600,0,256,2048,0,3072,256,0,0,0,260864,11008,44452,0,583
103,103,33206,221682,602368,0,79385600,2192,0,768,256,0,0,256,3328,18432,0,0,0,256,31
104,104,10772,72015,64768,256,26904576,0,256,1024,0,3072,3072,0,0,0,0,0,0,0,2
105,105,29482,197464,243968,256,51737600,0,256,1792,0,0,0,0,0,0,0,0,0,0,15
106,106,3801,25640,256768,256,53779712,0,3584,7168,0,0,0,256,0,0,0,3328,35657,0,476
107,107,19881,133829,487168,256,103449600,0,256,2560,0,1280,256,0,0,0,178944,16128,29441,0,999
108,108,258,1660,217600,0,29977600,0,0,768,0,0,0,0,1536,2048,257792,2048,31735,0,285
109,109,8821,58587,282368,256,51737600,0,256,256,0,12288,12288,0,0,0,0,0,0,0,2
110,110,33273,222115,717568,256,104729600,0,256,2304,0,1280,256,0,0,0,184320,0,0,0,2
111,111,45211,300605,64768,256,26882304,0,4352,7168,0,0,0,256,0,0,0,3328,40784,0,630
112,112,48961,326067,768768,256,691720704,0,256,1792,0,0,0,0,0,0,0,256,42358,0,4
113,113,49962,332870,141568,0,28428544,8306,0,1792,256,0,0,256,5888,12288,0,0,0,1792,22
114,114,10599,70632,691968,256,128281600,0,256,1024,0,7936,7936,0,0,0,0,0,0,0,2
115,115,33327,222481,807168,256,129561600,0,256,6656,0,0,0,0,0,0,0,0,0,0,172
116,116,45237,300755,141568,256,102929664,0,3584,3584,0,0,0,0,0,0,0,3328,24048,0,57
117,117,25165,168500,794368,256,179993600,0,256,6656,0,0,0,0,0,0,0,256,31154,0,7
118,118,23528,157816,602368,0,79378176,4401,0,1024,256,0,0,256,3328,9472,0,0,0,1024,17
119,119,46515,309697,231168,256,30222848,0,256,1280,0,6912,6912,0,0,0,0,0,0,0,2
120,120,29858,199543,77568,256,27137792,0,256,1280,0,6912,256,0,0,0,311040,0,0,0,2
121,121,3353,22640,179968,256,52243712,0,2048,7168,0,0,0,0,0,0,0,3328,35657,0,310
122,122,22793,153052,845568,256,179481600,0,256,6912,0,0,0,0,0,0,0,0,0,0,9
123,123,50079,333608,231168,0,30221312,19644,0,256,256,0,0,256,11264,3328,0,0,0,256,8
124,124,12597,84027,141568,256,28418816,0,256,1024,0,4096,4096,0,0,0,0,0,0,0,2
125,125,50876,338766,538368,256,128787200,0,256,6656,0,0,0,0,0,0,0,0,0,0,101
126,126,3021,20261,231168,256,53264640,0,3072,7168,0,0,0,256,0,0,0,3328,36922,0,485
127,127,21608,145142,487168,256,102919424,0,256,6656,0,0,0,0,0,0,0,256,38481,0,5
128,128,12059,80390,410368,0,54296320,1848,0,1280,256,0,0,256,256,12544,0,0,0,256,22
129,129,47302,315020,282368,256,51715328,0,256,2816,0,512,512,0,0,0,0,0,0,0,2
130,130,33799,225673,90368,256,27406848,0,256,768,0,12288,256,0,0,0,331776,0,0,0,2
131,131,3338,22540,154368,256,51731712,0,1792,7168,0,0,0,0,0,0,0,3328,35657,0,710
132,132,40423,269768,295168,256,102681600,0,256,768,0,256,256,0,0,0,61696,32000,41924,0,441
133,133,24685,165276,141568,0,28432640,7265,0,512,256,0,0,256,5632,10496,0,0,0,512,19
134,134,10106,67440,141568,256,28428288,0,256,768,0,9728,9728,0,0,0,0,0,0,0,2
135,135,26775,179541,307968,256,179474688,0,256,2304,0,0,0,0,0,0,0,0,0,0,1
136,136,44559,296486,13568,256,25878784,0,3584,0,0,0,0,256,0,0,39424,3328,35117,0,505
137,137,50239,334614,90368,256,27409664,0,256,1280,0,2560,256,0,0,0,168704,7424,22630,0,227
138,138,29797,199117,13568,0,25861120,21885,0,512,256,0,0,256,19456,3584,0,0,0,256,7
139,139,35330,235651,13568,256,25859072,0,256,0,0,1024,1024,0,0,0,0,0,0,0,1
140,140,35184,234733,640768,256,103449600,0,256,3584,0,0,0,0,0,0,0,0,0,0,209
141,141,2467,16582,231168,256,78338304,0,3584,7168,0,0,0,0,0,0,0,3328,40784,0,164
142,142,22745,152726,755968,256,154649600,0,256,6912,0,0,0,0,0,0,0,0,0,0,13
143,143,43497,289439,359168,0,53785600,10498,0,768,256,0,0,256,256,11776,0,0,0,768,21
144,144,41638,277456,243968,256,30471424,0,256,1024,0,3328,3328,0,0,0,0,0,0,0,2
145,145,33002,220239,359168,256,53253120,0,256,1280,0,3840,256,0,0,0,276480,0,0,0,2
146,146,45038,299579,128768,256,77060096,0,3072,6656,0,0,0,0,0,0,0,3328,14063,0,88
147,147,25146,168353,743168,256,154905600,0,256,6656,0,0,0,0,0,0,0,512,34882,0,6
148,148,10268,68446,269568,0,51463168,8215,0,1280,256,0,0,256,256,6656,0,0,0,256,12
149,149,11437,76325,691968,256,103961600,0,256,512,0,3072,3072,0,0,0,0,0,0,0,2
150,150,40063,267172,666368,256,154393600,0,256,6144,0,0,0,0,0,0,0,0,0,0,1
151,151,44596,296755,51968,256,26638848,0,6144,7168,0,0,0,256,0,0,0,3328,37240,0,675
152,152,21749,146104,896768,256,231432192,0,256,6144,0,0,0,0,0,0,0,0,0,0,8
153,153,39850,265908,307968,0,52500224,3895,0,512,256,0,0,256,15616,5120,0,0,0,512,10
154,154,36106,240750,13568,256,25863424,0,256,0,0,3328,3328,0,0,0,0,0,0,0,1
155,155,34309,228860,525568,256,77827840,0,256,1024,0,6656,256,0,0,0,306176,0,0,0,2
156,156,43817,291447,115968,256,77069824,0,5120,7168,0,0,0,256,0,0,0,3328,51695,0,249
157,157,23899,160291,141568,256,28427776,0,256,1280,0,5632,256,0,0,0,298496,5120,38993,0,583
158,158,13712,91872,435968,0,54809600,8573,0,1024,256,0,0,256,1792,16640,0,0,0,1024,29
159,159,42800,285038,359168,256,53271808,0,256,1280,0,5632,5632,0,0,0,0,0,0,0,2
160,160,35303,235410,858368,256,153881600,0,256,6400,0,0,0,0,0,0,0,0,0,0,1
161,161,35742,238384,90368,256,27402240,0,4352,7168,0,0,0,256,0,0,0,3328,20273,0,393
162,162,25155,168421,768768,256,179481600,0,256,6656,0,0,0,0,0,0,0,0,0,0,6
163,163,49882,332269,64768,0,26895104,19420,0,1024,256,0,0,256,7936,6912,0,0,0,1024,14
164,164,54805,364663,359168,256,53250304,0,256,1280,0,3840,3840,0,0,0,0,0,0,0,2
165,165,26751,179461,205568,256,77074688,0,256,2048,0,0,0,0,0,0,0,0,0,0,1
166,166,3792,25568,243968,256,53513984,0,4608,7168,0,0,0,256,0,0,0,3328,24362,0,737
167,167,25188,168721,896768,256,206105600,0,256,6656,0,0,0,0,0,0,0,256,24362,0,7
168,168,49971,332925,141568,0,28421376,2036,0,1792,256,0,0,256,2048,28416,0,0,0,1024,47
169,169,11917,79451,295168,256,51976448,0,256,1280,0,3584,3584,0,0,0,0,0,0,0,2
170,170,33326,222480,807168,256,129561600,0,256,6400,0,0,0,0,0,0,0,0,0,0,441
171,171,52610,349820,295168,256,77316096,0,1536,6144,0,0,0,0,0,0,0,3328,31865,0,92
172,172,21092,141584,666368,256,180249600,0,256,6656,0,0,0,0,0,0,0,768,38993,0,10
173,173,11870,79205,256768,0,30723584,9661,0,1536,256,0,0,256,256,17408,0,0,0,768,30
174,174,47536,316590,576768,256,103705600,0,256,3328,0,256,256,0,0,0,52224,52224,23178,0,853
175,175,34784,231953,179968,256,29189120,0,256,1280,0,5120,256,0,0,0,291840,0,0,0,2
176,176,4147,27776,179968,256,128269824,0,3328,7168,0,0,0,0,0,0,0,3328,51695,0,74
177,177,48924,325830,461568,256,384537600,0,256,1792,0,0,0,0,0,0,0,0,0,0,2
178,178,51007,339726,26368,0,26117888,696,0,768,256,0,0,256,256,8192,0,0,0,512,606
179,179,10890,72789,167168,256,28945920,0,256,512,0,17152,17152,0,0,0,0,0,0,0,147
180,180,32515,217179,781568,256,128793600,0,256,6400,0,0,0,256,0,0,0,0,0,0,1
181,181,4579,30270,141568,256,102674688,0,6656,7168,0,0,0,0,0,0,0,3328,34826,0,56
182,182,21597,145081,461568,256,78341376,0,256,6656,0,0,0,256,0,0,0,0,0,0,6
183,183,23386,156941,474368,0,55567616,3727,0,512,256,0,0,256,2816,5888,0,0,0,512,11
184,184,53856,358293,179968,256,29197824,0,256,768,0,7424,7424,0,0,0,0,0,0,0,2
185,185,33385,222958,13568,256,25870336,0,256,0,0,1536,256,0,0,0,201216,0,0,0,1
186,186,43829,291548,243968,256,205072128,0,18176,7168,0,0,0,0,0,0,0,3328,31735,0,61
187,187,21268,142715,77568,256,27147776,0,256,1280,0,5888,256,0,0,0,300288,5632,38993,0,546
188,188,23475,157534,563968,0,78610176,3264,0,1024,256,0,0,256,4352,8960,0,0,0,768,16
189,189,16633,111461,115968,0,27917056,3572,0,2048,256,0,0,256,256,30720,0,0,0,512,51
190,190,50925,339126,691968,256,179987200,0,256,6656,0,0,0,0,0,0,0,0,0,0,1
191,191,35871,239253,307968,256,77829632,0,5120,7168,0,0,0,256,0,0,100864,3328,20202,0,351
192,192,20959,140827,346368,256,77573376,0,256,2560,0,512,256,0,0,0,104960,31232,21771,0,428
193,193,28267,189151,499968,0,281881600,0,0,0,0,0,0,0,0,3328,29952,3328,35224,0,61
194,194,54625,363527,205568,256,29709568,0,256,1280,0,1280,1280,0,0,0,0,0,0,0,211
195,195,32530,217268,807168,256,129305600,0,256,6144,0,0,0,0,0,0,0,0,0,0,101
196,196,45246,300808,205568,256,179480576,0,2816,7168,0,0,0,0,0,0,0,3328,26282,0,52
197,197,21654,145428,602368,256,129300480,0,256,6656,0,0,0,0,0,0,0,0,0,0,7
198,198,24706,165389,154368,0,28691200,16068,0,1024,256,0,0,256,8960,7168,0,0,0,256,14
199,199,42133,280700,269568,256,51722496,0,256,1792,0,3328,3328,0,0,0,0,0,0,0,2
200,200,31011,207587,653568,256,103178496,0,256,2048,0,512,256,0,0,0,105472,0,0,0,2
201,201,4366,29110,205568,256,153873664,0,12288,7168,0,0,0,0,0,0,0,3328,24048,0,57
202,202,20582,138479,205568,256,29711616,0,256,768,0,4096,256,0,0,0,278528,8704,34379,0,586
203,203,14565,97469,589568,0,79120640,1512,0,1792,256,0,0,256,256,28416,0,0,0,512,47
204,204,10256,68367,256768,256,30739200,0,256,1280,0,2304,2304,0,0,0,0,0,0,0,2
205,205,26745,179432,179968,256,51993600,0,256,1536,0,0,0,0,0,0,0,0,0,0,182
206,206,3333,22496,141568,256,51478528,0,4864,6912,0,0,0,256,0,0,0,3328,22650,0,331
207,207,17889,119993,819968,256,640518144,0,256,1792,0,0,0,0,0,0,0,0,0,0,3
208,208,22000,147760,231168,0,51481600,7866,0,1280,256,0,0,0,1280,0,0,0,0,1792,17
209,209,11108,74106,333568,256,52759552,0,256,768,0,4352,4352,0,0,0,0,0,0,0,2
210,210,33285,222204,743168,256,128281600,0,256,3328,0,512,256,0,0,0,105216,0,0,0,2
211,211,44007,292751,103168,256,51469056,0,5376,7168,0,0,0,256,0,0,0,3328,27309,0,744
212,212,48933,325922,576768,256,512281600,0,256,2304,0,0,0,0,0,0,0,1024,22650,0,4
213,213,52257,347516,461568,0,282137600,0,0,0,0,0,0,0,0,3328,29952,3328,40784,0,66
214,214,8772,58301,243968,256,30469888,0,256,512,0,7936,7936,0,0,0,0,0,0,0,2
215,215,32287,215712,423168,256,54543360,0,256,1024,0,6912,256,0,0,0,311040,0,0,0,2
216,216,3317,22395,115968,256,27926272,0,3328,7168,0,0,0,256,0,0,52224,3328,22513,0,638
217,217,19493,130907,909568,256,206361600,0,256,6400,0,0,0,0,0,0,0,1024,26654,0,13
218,218,50770,338138,307968,0,52738304,2700,0,2048,256,0,0,256,1792,30720,0,0,0,2048,51
219,219,54633,363563,205568,256,29718784,0,256,1280,0,6144,6144,0,0,0,0,0,0,0,2
220,220,50939,339235,743168,256,205081600,0,256,6656,0,0,0,0,0,0,0,0,0,0,1
221,221,44004,292740,103168,256,51460096,0,2560,6144,0,512,256,0,0,0,105472,52736,14063,0,560
222,222,21638,145276,538368,256,103953920,0,256,6400,0,0,0,0,0,0,0,0,0,0,7
223,223,46415,308862,128768,0,28173056,4209,0,768,256,0,0,256,256,6656,0,0,0,256,12
224,224,8628,57356,115968,256,27923968,0,256,1536,0,4352,4352,0,0,0,0,0,0,0,2
225,225,34432,229661,666368,256,103438336,0,256,2048,0,1024,256,0,0,0,163840,0,0,0,513
226,226,2900,19518,51968,256,26646784,0,3328,6400,0,256,256,0,0,0,61696,61696,35117,0,917
227,227,21636,145263,538368,256,103943680,0,256,6400,0,0,0,0,0,0,0,0,0,0,3
228,228,23185,155718,307968,0,52238080,1411,0,1792,256,0,0,256,1536,14080,0,0,0,256,24
229,229,12288,82002,653568,256,102937600,0,256,1280,0,768,768,0,0,0,0,0,0,0,2
230,230,30868,206597,474368,256,77312256,0,256,1792,0,1792,256,0,0,0,215040,0,0,0,592
231,231,762,5151,90368,256,27405824,0,2304,6912,0,0,0,256,0,0,182784,3328,36380,0,497
232,232,21075,141464,615168,256,155161600,0,256,6656,0,0,0,0,0,0,0,768,38993,0,14
233,233,1336,8935,13568,0,25863168,1868,0,768,256,0,0,256,14848,5120,0,0,0,512,8
234,234,14627,97928,691968,256,103693824,0,256,2048,0,768,768,0,0,0,43776,43776,36380,0,663
235,235,50576,336837,115968,256,27905280,0,256,1536,0,4864,256,0,0,0,291840,0,0,0,2
236,236,3734,25151,128768,256,28185088,0,768,6144,0,512,256,0,0,0,105472,52736,32447,0,846
237,237,21014,141115,461568,256,103961600,0,256,6656,0,0,0,0,0,0,0,256,40185,0,5
238,238,54233,360819,128768,0,28185600,2241,0,1280,256,0,0,0,256,0,0,0,0,512,41
239,239,53359,354862,179968,256,29204224,0,256,1792,0,7680,7680,0,0,0,0,0,0,0,2
240,240,26136,175370,448768,256,77834240,0,256,3328,0,768,256,0,0,0,139008,0,0,0,463
241,241,4289,28648,39168,256,26392576,0,4864,7168,0,0,0,0,0,0,0,3328,26282,0,113
242,242,48886,325602,167168,256,102681600,0,256,2304,0,0,0,0,0,0,0,0,0,0,23
243,243,19225,129176,359168,0,53517568,2453,0,1536,256,0,0,256,768,40960,0,0,0,512,68
244,244,42406,282534,39168,256,26390272,0,256,768,0,6400,6400,0,0,0,0,0,0,0,2
245,245,51716,344245,231168,256,52249600,0,256,1536,0,2816,256,0,0,0,253440,0,0,0,540
246,246,3713,25031,103168,256,27662848,0,3328,7168,0,0,0,256,0,0,0,3328,37240,0,720
247,247,22828,153257,896768,256,180505600,0,256,6656,0,0,0,0,0,0,0,0,0,0,7
248,248,54456,362266,39168,0,26384128,6107,0,1024,256,0,0,256,3328,16640,0,0,0,768,28
249,249,36491,243423,103168,256,27660288,0,256,1792,0,3072,3072,0,0,0,0,0,0,0,2
250,250,50863,338708,512768,256,128281600,0,256,6144,0,0,0,0,0,0,0,0,0,0,101
251,251,44672,297250,205568,256,77828608,0,6144,7168,0,0,0,0,0,0,0,3328,21382,0,128
252,252,23476,157537,563968,256,78604288,0,256,768,0,5120,256,0,0,0,291840,8704,36578,0,548
253,253,15492,103789,128768,0,28167424,4676,0,768,256,0,0,256,10496,6912,0,0,0,512,12
254,254,16828,112743,39168,0,26372608,7348,0,1024,256,0,0,256,6400,10240,0,0,0,512,18
255,255,29759,198857,845568,256,256281600,0,256,6144,0,0,0,0,0,0,0,0,0,0,1
256,256,3350,22624,179968,256,52236288,0,1280,7168,0,0,0,0,0,0,0,3328,36578,0,718
257,257,41179,274393,602368,256,104729600,0,256,6656,0,0,0,0,0,0,0,0,0,0,3
258,258,17296,115922,192768,256,77081600,0,256,1280,0,0,0,0,0,0,0,3328,31247,0,46
259,259,9742,64941,538368,256,79129600,0,256,1024,0,768,768,0,0,0,0,0,0,0,2
260,260,39462,263254,243968,256,30475008,0,256,1024,0,17408,256,0,0,0,330752,0,0,0,2
261,261,3257,21996,51968,256,26638336,0,3840,3328,0,768,256,0,0,0,46336,46336,33127,0,579
262,262,21660,145521,640768,256,154136320,0,256,6656,0,0,0,0,0,0,0,0,0,0,7
263,263,16741,112206,205568,0,29700096,6656,0,1024,256,0,0,256,8192,8960,0,0,0,768,16
264,264,42310,281937,538368,256,128256768,0,256,1280,0,256,256,0,0,0,61440,61440,43005,0,487
265,265,34354,229173,563968,256,78611712,0,256,768,0,3328,256,0,0,0,244224,0,0,0,2
266,266,3376,22803,231168,256,53248256,0,3840,4864,0,768,256,0,0,0,139008,46336,46416,0,905
267,267,41315,275438,871168,256,156185600,0,256,6656,0,0,0,0,0,0,0,0,0,0,9
268,268,22314,149832,64768,0,26886400,7479,0,1536,256,0,0,256,2560,16640,0,0,0,768,29
269,269,47519,316473,538368,256,102937600,0,256,2304,0,256,256,0,0,0,61696,61696,27484,0,410
270,270,33248,221995,679168,256,103961600,0,256,768,0,1792,256,0,0,0,215040,0,0,0,2
271,271,45231,300713,90368,256,51725824,0,3840,3072,0,256,256,0,0,0,0,0,0,0,55
272,272,24279,162755,512768,256,78617600,0,256,1024,0,1280,256,0,0,0,184320,21248,43641,0,551
273,273,47873,318820,192768,0,29458688,9666,0,768,256,0,0,256,5888,3840,0,0,0,512,8
274,274,13769,92259,551168,256,103193600,0,256,1024,0,512,512,0,0,0,0,0,0,0,2
275,275,26111,175110,384768,256,54035968,0,256,2304,0,2560,256,0,0,0,212992,0,0,0,580
276,276,3811,25718,282368,256,77321984,0,4352,7168,0,0,0,0,0,0,0,3328,24362,0,806
