student,Config,n_seeds,Accuracy_mean,Accuracy_std,MacroF1_mean,MacroF1_std,Blackhole_F1_mean,Blackhole_F1_std,Flooding_F1_mean,Flooding_F1_std,Grayhole_F1_mean,Grayhole_F1_std,Normal_F1_mean,Normal_F1_std,TDMA_F1_mean,TDMA_F1_std,params,size_kb
A,F_KD_from_CL_MLP_ext,10,0.9811743772241993,0.012704667869452386,0.8936578199261115,0.05542105934538721,0.8213237880330633,0.04776648669297714,0.9440185178570648,0.007128212594398886,0.8300457396885402,0.053392490910073316,0.9960617449956214,0.0035814375423024606,0.8768393090562675,0.16814925433401773,1189.0,4.64453125
A,F_KD_from_CL_MLP_fair,10,0.9850658362989325,0.0004147642346395579,0.9104895552870976,0.0031035906799400425,0.8331599789560169,0.0075496176147217585,0.9446170475317339,0.005671208644413844,0.8469502253826784,0.004477231924442752,0.9971434133449477,6.853904087146423e-05,0.9305771112201111,0.0032261227564861768,1189.0,4.64453125
A,G_KD_random_pacing,10,0.9851814946619216,0.0006038647134979478,0.910808556743555,0.00375406445592615,0.8315815659796921,0.008476575292560426,0.9457949066143632,0.005504136981792885,0.8493702824338261,0.008140545254087318,0.9972015135250348,0.00011471398481066436,0.9300945151648582,0.0040753464979302115,1189.0,4.64453125
A,I_KD_from_SMOTE_MLP,10,0.9847081850533808,0.0008056479803346893,0.9084987350325013,0.004962813431850901,0.8248233804264304,0.008935981249024375,0.951274517458289,0.0026704591015683007,0.8467296369286498,0.009024579893447175,0.9970961715043876,0.0001977984026769525,0.9225699688447498,0.010068234744330547,1189.0,4.64453125
B,A_RF_500,10,0.9965907473309608,5.943048659491634e-05,0.9788502941560825,0.00026704963641522407,0.9903957236265057,0.0003281605790634252,0.9632084466225692,0.0008173287540667915,0.9832391666967846,0.00064810469364716,0.9983899937124863,3.428156747786801e-05,0.9590181401220669,0.0002103618520586879,,85185.99609375
B,B_Full_MLP,10,0.9872633451957296,0.0003160610754010332,0.9226887762531352,0.0020062386205199232,0.8672306992018963,0.00597868138867381,0.9383622154558102,0.0026424438910476137,0.8772657449747779,0.004706039299332622,0.9972152442290451,8.197217790354673e-05,0.9333699774041457,0.003209020750489137,69893.0,273.01953125
B,C2_CL_MLP_domain,10,0.9856548042704627,0.000747086141149371,0.9131371118601589,0.004540576701544804,0.8425479405398836,0.010081992302413644,0.9364251314783821,0.003877288842075276,0.8557025731807391,0.011628129947379847,0.9971443729220324,4.1882875163156527e-05,0.9338655411797572,0.0012210577438390377,69893.0,273.01953125
B,C_CL_MLP_loss,10,0.9857259786476869,0.0006639657720638023,0.9135861700874944,0.003855184577397577,0.8445725592575479,0.0100402973316461,0.9366087541879942,0.00472714840368958,0.8558451708410644,0.010164584370191933,0.9971551998336606,6.291954837885235e-05,0.9337491663172053,0.0024289953497236574,69893.0,273.01953125
B,C_CL_MLP_loss_ext,10,0.9785907473309609,0.025235380398791286,0.8674204900984448,0.1616812906197555,0.7702994816450504,0.2709704189911502,0.9223919752204619,0.048087449584653656,0.7795825971424906,0.2742563338244873,0.9960697254158462,0.0036792249653388766,0.8687586710683748,0.2117832224836891,69893.0,273.01953125
B,C_CL_MLP_loss_fair,10,0.9857259786476869,0.0006639657720638023,0.9135861700874944,0.003855184577397577,0.8445725592575479,0.0100402973316461,0.9366087541879942,0.00472714840368958,0.8558451708410644,0.010164584370191933,0.9971551998336606,6.291954837885235e-05,0.9337491663172053,0.0024289953497236574,69893.0,273.01953125
B,D_Small_MLP,10,0.9887295373665481,0.001037203588376966,0.9313411490547345,0.006575106681835642,0.8871714288930086,0.021340905891061752,0.9415619407061746,0.004196548648235551,0.8966085626320854,0.013955353878425001,0.9973314408469529,0.00014006720292958976,0.9340323721954509,0.004414370057430189,3397.0,13.26953125
B,E2_KD_from_MLP,10,0.986432384341637,0.0007611023781676851,0.9177373468634771,0.004575176418804547,0.8531035010945003,0.014587807904582188,0.9412052528103934,0.0026104512422389595,0.8652907348454754,0.01121150435227948,0.9972448065872417,0.00010334909937574612,0.9318424389797755,0.0034325520972976445,3397.0,13.26953125
B,E_KD_from_RF,10,0.9901886120996443,0.0021245813221616224,0.939173439381416,0.012914669541672667,0.8865939549965673,0.03527306510531445,0.9533771353583077,0.0007886029805022932,0.9025336722205081,0.029047363533055086,0.9980989785677957,4.8655069725526284e-05,0.9552634557639008,0.0015140727839372163,3397.0,13.26953125
B,F_KD_from_CL_MLP,10,0.9862099644128112,0.0007781858489263481,0.9165800629470008,0.00507000856440645,0.8474912422374953,0.015497943574457437,0.9422874941699172,0.0043583267021740655,0.8628107716787425,0.010521903098981225,0.9972437951797272,7.095349041821482e-05,0.9330670114691216,0.001541089743521856,3397.0,13.26953125
B,F_KD_from_CL_MLP_ext,10,0.9830925266903916,0.010490412682432575,0.9045384603426354,0.04207760474491285,0.847562680278689,0.018003604449017708,0.941690901828161,0.0069376531144407635,0.8544115413714513,0.03618029832320345,0.9961109469062942,0.0035979386729423487,0.8829162313285812,0.15602341809485376,3397.0,13.26953125
B,F_KD_from_CL_MLP_fair,10,0.9862099644128112,0.0007781858489263481,0.9165800629470008,0.00507000856440645,0.8474912422374953,0.015497943574457437,0.9422874941699172,0.0043583267021740655,0.8628107716787425,0.010521903098981225,0.9972437951797272,7.095349041821482e-05,0.9330670114691216,0.001541089743521856,3397.0,13.26953125
B,G_KD_random_pacing,10,0.9861387900355872,0.0008089945485944214,0.9166090054476952,0.0048973413737985645,0.8503403317713639,0.011197914216739852,0.9432198372296607,0.007665575905816426,0.8619253673638715,0.0084925913576524,0.9971679999826157,0.00019351971819220288,0.9303914908909633,0.0034938591512084674,3397.0,13.26953125
B,I_KD_from_SMOTE_MLP,10,0.9863540925266904,0.001406593352622694,0.9175610787186457,0.00877197233158707,0.8473877606024749,0.02546369185803283,0.9497541807281401,0.0035799159289084067,0.8670726021776783,0.018662701892273283,0.9972655018370282,0.00010653918578370418,0.9263253482479061,0.0043349765598217965,3397.0,13.26953125
