paper_work,year,dataset_task,paper_model,paper_accuracy_percent,paper_precision_percent,paper_recall_percent,paper_f1_percent,paper_f1_type,paper_footprint,our_model,our_accuracy_percent,our_macro_precision_percent,our_macro_recall_percent,our_macro_f1_percent,our_weighted_f1_percent,our_micro_f1_percent,our_comparable_f1_percent,our_best_f1_reference_percent,our_best_f1_reference_type,our_size_kb,our_params,our_flops_per_sample,accuracy_gap_points,comparable_f1_gap_points,best_f1_reference_gap_points,f1_comparison_basis,best_f1_reference_basis,interpretation
"Abdi et al., CNN Multiclass Attack Classification",2025,"DNN-EdgeIIoT, 15-class",CNN,95.50,NR,NR,94.60,unspecified,NR,Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,96.86,weighted,61.06,15631,31247,1.35,NR,2.26,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,Our compressed student is higher in accuracy; their F1 type is unspecified and their CNN is not presented as an ultra-small deployment artifact.
"Yagiz and Goktas, LENS-XAI",2025,"Edge-IIoTset, multiclass",LENS-XAI Student,95.31,95.74,95.31,95.36,unspecified,"NR, KD/VAE/XAI with 10% training-data claim",Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,96.86,weighted,61.06,15631,31247,1.54,NR,1.50,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,"Accuracy is higher; their F1 type is unspecified, while our macro-F1 remains lower because it stresses minority classes."
"Salehiyan et al., Transformer-GAN-AE",2025,"Edge-IIoTset, 70/15/15 split",Transformer-GAN-AE,98.63,NR,98.79,NR,not_reported,RTX 3090 workstation; footprint NR,Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,NR,NR,61.06,15631,31247,-1.78,NR,NR,not comparable: paper F1 not reported,not available: paper F1 not reported,Their heavy hybrid DL model has higher accuracy; our contribution is much smaller compressed-student deployment.
WO-XGB Feature-Level Ensemble,2025,Edge-IIoTset,WO-XGB,99.98,99.97,99.97,99.97,unspecified,"NR, XGBoost ensemble",Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,96.86,weighted,61.06,15631,31247,-3.13,NR,-3.11,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,Their ensemble is much stronger in raw metrics; not an ultra-small neural student comparison.
"Ishtiaq et al., CST-AFNet",2025,"Edge-IIoTset, 15 attack types + benign",CST-AFNet CNN-BiGRU dual attention,99.97,99.30,99.30,99.30,unspecified,"NR, multi-scale CNN + BiGRU + dual attention",Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,96.86,weighted,61.06,15631,31247,-3.12,NR,-2.44,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,Their deep attention model is raw-metric superior but not comparable to a 61 KB compressed MLP target.
Neuro-Symbolic Edge IDS,2026,Edge-IIoTset,Neuro-symbolic KD framework,94.30,NR,NR,93.50,macro,"37% memory reduction, 54% latency reduction; absolute size NR",Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,82.44,NR,NR,61.06,15631,31247,2.55,-11.06,NR,macro-to-macro,not needed: paper F1 averaging is specified,Our accuracy is higher; their explicitly reported macro-F1 and interpretability claims remain stronger.
Hybrid LLM/HGB IDS,2026,"Edge-IIoTset, leakage-safe hybrid features",BERT embeddings + RF selection + HGB,98.19,98.21,98.19,98.19,weighted,Frozen BERT + HGB; footprint NR,Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,96.86,NR,NR,61.06,15631,31247,-1.34,-1.33,NR,weighted-to-weighted,not needed: paper F1 averaging is specified,Their hybrid representation is stronger in macro/weighted metrics; our model is far smaller and standalone.
"Abdulkareem et al., FI-SEL",2024,"Edge-IIoTset, 8 selected features",Feature-importance stacked ensemble,87.37,90.65,77.73,80.88,unspecified,8 features; absolute model size NR,Student A LightGBM-KD,96.61,80.42,86.89,81.43,96.60,96.61,NR,96.61,micro,9.31,2383,4751,9.24,NR,15.73,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,"Our smallest student is much stronger in accuracy; F1 type is unspecified, so the best-F1 reference is only optimistic context."
"Qathrady et al., SACNN-IDS",2024,Edge-IIoTset,Self-attention CNN IDS,99.95,99.79,99.80,99.79,unspecified,"NR, deep self-attention CNN",Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,96.86,weighted,61.06,15631,31247,-3.10,NR,-2.93,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,"Raw metrics are much higher; this is a heavy accuracy benchmark, not a compression-equivalent model."
"Alshehri et al., SA-DCNN",2024,Edge-IIoTset,Self-attention DCNN,99.96,99.83,99.79,99.81,unspecified,"NR, self-attention DCNN",Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,96.86,weighted,61.06,15631,31247,-3.11,NR,-2.95,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,Raw metrics are much higher; not comparable to our compressed 61 KB student objective.
"Cao et al., FedDynST",2025,Edge-IIoTset,FedDynST,97.28,97.14,91.28,97.62,unspecified,"NR, federated/dynamic model",Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,96.86,weighted,61.06,15631,31247,-0.43,NR,-0.76,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,Accuracy is close but lower than their reported value; their model is not a tiny standalone student.
"Gao et al., Lightweight TCN",2026,"Edge-IIoTset, multiclass, selected features","TCN, 22 features",93.79,93.33,93.79,93.13,unspecified,16.25 KB,Student A LightGBM-KD,96.61,80.42,86.89,81.43,96.60,96.61,NR,96.61,micro,9.31,2383,4751,2.82,NR,3.48,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,"Accuracy and size are stronger; F1 type is unspecified, so the best-F1 reference is only optimistic context."
"Gao et al., Lightweight TCN",2026,"Edge-IIoTset, multiclass, all features","TCN, all features",94.24,93.77,94.24,93.71,unspecified,25.37 KB,Student B LightGBM-KD,96.80,81.26,87.77,82.20,96.79,96.80,NR,96.80,micro,22.56,5775,11535,2.56,NR,3.09,not comparable: paper F1 averaging not specified,non-apples-to-apples reference: paper F1 averaging not specified; compared against our best F1,"Accuracy and size are stronger; F1 type is unspecified, so the best-F1 reference is only optimistic context."
SEED: Edge Transformer to IoT Decisions,2026,"Edge-IIoTset, offloaded edge/IoT split",EdgeBERT + IoT classifier,99.99,NR,NR,NR,not_reported,137 KB IoT classifier + 40.6 MB EdgeBERT,Student C RF-KD,96.85,81.68,87.76,82.44,96.86,96.85,NR,NR,NR,61.06,15631,31247,-3.14,NR,NR,not comparable: paper F1 not reported,not available: paper F1 not reported,Not a direct standalone tiny-student comparison because their result uses edge offloading.
